StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,att_2,consent,att_3,att_4,comp_1,pref_you,pref_you_explain,comp_2,comp_3,safety_you_1,trust_you_1,pref_others,pref_others_explain,safety_others_1,trust_others_1,license,ai_knowledge_1,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,FL_8_DO,av_you_DO,av_others_DO
4/8/23 12:55,4/8/23 12:56,0,172.59.65.39,100,51,1,4/8/23 12:56,R_31uYZNrJ4mlXEJD,,,,,30.3524,-81.5867,anonymous,EN,6,1,4,2,,,,,,,,,,,,,,6431b89b-0191-7e4b-4fd4-841bc6aab5fa,32,2,1,2,1,2,1,3,31401,,,
4/8/23 12:55,4/8/23 12:56,0,172.58.208.223,100,44,1,4/8/23 12:56,R_1oChYFLPLxvkx2i,,,,,34.0587,-118.2781,anonymous,EN,8,1,4,2,,,,,,,,,,,,,,6431b8a3-ef94-8baa-2f5e-0257f4d851b7,29,2,9,16,2,4,3,4,90061,,,
4/8/23 12:56,4/8/23 12:56,0,172.56.232.223,100,38,1,4/8/23 12:56,R_3jTzi2MpcF7CV7a,,,,,34.0486,-118.1796,anonymous,EN,6,1,4,2,,,,,,,,,,,,,,6431b8b7-d288-3407-753c-21fa8297db7d,41,2,14,16,15,-3105,8,4,91748,,,
4/8/23 12:55,4/8/23 12:56,0,138.84.238.69,100,77,1,4/8/23 12:56,R_1l5Mj7L9LSzpRu6,,,,,31.2494,-89.9283,anonymous,EN,6,1,4,2,,,,,,,,,,,,,,6431b875-7d30-30b3-0385-f5481edd5e4a,51,2,1,1,1,1,2,3,39429,,,
4/8/23 12:56,4/8/23 12:56,0,208.101.136.61,100,31,1,4/8/23 12:56,R_3kuiPNSoN8SkFJp,,,,,34.9251,-80.7278,anonymous,EN,8,1,4,2,,,,,,,,,,,,,,6431b8a5-3295-c133-4129-ddd7828c4839,26,1,4,2,1,2,1,3,28170,,,
4/8/23 12:56,4/8/23 12:56,0,152.179.246.14,100,26,1,4/8/23 12:56,R_1ILgSdLlgpZrodU,,,,,40.8271,-73.9359,anonymous,EN,8,1,4,2,,,,,,,,,,,,,,6431b8a7-abb9-6852-0c15-460431be06e1,36,1,2,3,1,6,2,2,48170,,,
4/8/23 12:56,4/8/23 12:56,0,173.81.175.222,100,58,1,4/8/23 12:56,R_1mEJxOX4Yx8UDMx,,,,,38.9762,-81.925,anonymous,EN,10,1,4,1,,,,,,,,,,,,,,6431b879-8500-187f-db86-605c26b5320b,40,2,2,1,1,4,4,2,45771,,,
4/8/23 12:56,4/8/23 12:56,0,69.251.2.23,100,31,1,4/8/23 12:57,R_3LaGN5W6lUmZ8Q1,,,,,38.5643,-76.0874,anonymous,EN,6,1,4,2,,,,,,,,,,,,,,6431b8ca-2de9-5ff1-c5b5-41b4361433be,20,1,2,2,1,2,7,1,21613,,,
4/8/23 12:56,4/8/23 12:57,0,107.223.145.125,100,24,1,4/8/23 12:57,R_1pXz5VXiT5vybVs,,,,,37.0504,-93.3002,anonymous,EN,9,1,2,2,,,,,,,,,,,,,,6431b8ba-f821-68d5-220a-6d0d22bba6e8,50,2,1,1,1,1,10,2,65714,,,
4/8/23 12:56,4/8/23 12:57,0,47.214.154.67,100,52,1,4/8/23 12:57,R_3GwCDFUbb06Hzm7,,,,,37.7932,-81.2061,anonymous,EN,6,1,4,2,,,,,,,,,,,,,,6431b89f-2f1d-2087-448d-76949e984584,45,2,5,1,1,1,10,3,25901,,,
4/8/23 12:56,4/8/23 12:57,0,172.58.108.247,100,62,1,4/8/23 12:57,R_10SHwuk9ABTuDJA,,,,,32.7797,-96.8022,anonymous,EN,8,1,4,2,,,,,,,,,,,,,,6431b877-8710-33b9-7f9d-2efe4c20d3b1,21,2,1,2,1,2,4,3,75227,,,
4/8/23 12:56,4/8/23 12:57,0,174.247.236.195,100,42,1,4/8/23 12:57,R_Twwg6JYBQWwt9ct,,,,,34.7448,-92.2883,anonymous,EN,9,1,4,2,,,,,,,,,,,,,,6431b8b8-1824-bd1a-3523-4457b8a2e46f,32,2,11,1,1,2,10,3,72143,,,
4/8/23 12:55,4/8/23 12:57,0,52.124.41.25,100,95,1,4/8/23 12:57,R_2ZBRpEpcX9wue0C,,,,,38.4475,-78.8693,anonymous,EN,6,1,4,1,1,,,2,2,,,5,You can save yourself ,9,84,1,52,6431b86d-5db1-d04e-6ad4-ce83b0ab3d41,20,2,10,15,1,4,1,3,22801,FL_53,,scale_others|trust_others|safety_others
4/8/23 12:56,4/8/23 12:57,0,76.245.251.205,100,36,1,4/8/23 12:57,R_10BfWrU5dayLJTP,,,,,42.3667,-88.0925,anonymous,EN,7,1,4,2,,,,,,,,,,,,,,6431b8d4-f7e5-4b34-85b1-6cedd98d7306,21,1,10,1,1,6,10,2,60073,,,
4/8/23 12:56,4/8/23 12:57,0,76.31.217.238,100,23,1,4/8/23 12:57,R_1Ln74X9kOgkxN8T,,,,,29.8143,-95.8049,anonymous,EN,10,2,,,,,,,,,,,,,,,,6431b8b6-75f6-a1c5-6c02-380f57f25f0e,20,2,1,1,1,2,10,3,77084,,,
4/8/23 12:56,4/8/23 12:57,0,45.29.171.124,100,67,1,4/8/23 12:57,R_2uX32lYnbesCD3s,,,,,36.557,-89.1974,anonymous,EN,6,1,4,2,,,,,,,,,,,,,,6431b8b9-c64b-a762-fb03-2a726ecd3704,46,2,6,1,1,5,2,3,42050,,,
